Turtle ID,Observation Date,Observation Town
ST2015-605,31-Dec-15,Wellfleet
ST2015-606,31-Dec-15,Plymouth
ST2015-607,31-Dec-15,Truro
ST2015-608,31-Dec-15,Dennis
ST2015-609,31-Dec-15,Hingham
ST2015-584,30-Dec-15,Dennis
ST2015-585,30-Dec-15,Barnstable
ST2015-586,30-Dec-15,Barnstable
ST2015-587,30-Dec-15,Barnstable
ST2015-588,30-Dec-15,Barnstable
ST2015-589,30-Dec-15,Barnstable
ST2015-590,30-Dec-15,Barnstable
ST2015-591,30-Dec-15,Barnstable
ST2015-592,30-Dec-15,Barnstable
ST2015-593,30-Dec-15,Barnstable
ST2015-594,30-Dec-15,West Tisbury
ST2015-595,30-Dec-15,Barnstable
ST2015-596,30-Dec-15,Sandwich
ST2015-598,30-Dec-15,Barnstable
ST2015-599,30-Dec-15,Sandwich
ST2015-600,30-Dec-15,Sandwich
ST2015-601,30-Dec-15,Sandwich
ST2015-602,30-Dec-15,Sandwich
ST2015-603,30-Dec-15,Wellfleet
ST2015-604,30-Dec-15,Barnstable
ST2015-578,29-Dec-15,Barnstable
ST2015-579,29-Dec-15,Wellfleet
ST2015-580,29-Dec-15,Barnstable
ST2015-581,29-Dec-15,Barnstable
ST2015-582,29-Dec-15,Sandwich
ST2015-583,29-Dec-15,Sandwich
ST2015-597,29-Dec-15,Wellfleet
ST2015-570,28-Dec-15,Provincetown
ST2015-571,28-Dec-15,Dennis
ST2015-572,28-Dec-15,Dennis
ST2015-573,28-Dec-15,Barnstable
ST2015-574,28-Dec-15,Barnstable
ST2015-575,28-Dec-15,Dennis
ST2015-576,28-Dec-15,Truro
ST2015-577,28-Dec-15,Provincetown
ST2015-560,27-Dec-15,Dennis
ST2015-561,27-Dec-15,Dennis
ST2015-562,27-Dec-15,Provincetown
ST2015-563,27-Dec-15,Provincetown
ST2015-564,27-Dec-15,Wellfleet
ST2015-565,27-Dec-15,Wellfleet
ST2015-566,27-Dec-15,Provincetown
ST2015-567,27-Dec-15,Wellfleet
ST2015-568,27-Dec-15,Wellfleet
ST2015-559,26-Dec-15,Wellfleet
ST2015-553,25-Dec-15,Wellfleet
ST2015-554,25-Dec-15,Provincetown
ST2015-555,25-Dec-15,Dennis
ST2015-556,25-Dec-15,Provincetown
ST2015-557,25-Dec-15,Truro
ST2015-558,25-Dec-15,Provincetown
ST2015-538,24-Dec-15,Truro
ST2015-539,24-Dec-15,Truro
ST2015-540,24-Dec-15,Eastham
ST2015-541,24-Dec-15,Wellfleet
ST2015-542,24-Dec-15,Truro
ST2015-543,24-Dec-15,Truro
ST2015-544,24-Dec-15,Truro
ST2015-545,24-Dec-15,Truro
ST2015-546,24-Dec-15,Truro
ST2015-547,24-Dec-15,Truro
ST2015-548,24-Dec-15,Truro
ST2015-549,24-Dec-15,Provincetown
ST2015-550,24-Dec-15,Truro
ST2015-551,24-Dec-15,Wellfleet
ST2015-552,24-Dec-15,Orleans
ST2015-522,23-Dec-15,Wellfleet
ST2015-525,23-Dec-15,Wellfleet
ST2015-526,23-Dec-15,Wellfleet
ST2015-527,23-Dec-15,Wellfleet
ST2015-528,23-Dec-15,Truro
ST2015-529,23-Dec-15,Wellfleet
ST2015-530,23-Dec-15,Eastham
ST2015-531,23-Dec-15,Truro
ST2015-532,23-Dec-15,Truro
ST2015-533,23-Dec-15,Truro
ST2015-534,23-Dec-15,Truro
ST2015-535,23-Dec-15,Eastham
ST2015-536,23-Dec-15,Dennis
ST2015-537,23-Dec-15,Truro
ST2015-496,22-Dec-15,Truro
ST2015-497,22-Dec-15,Truro
ST2015-502,22-Dec-15,Eastham
ST2015-504,22-Dec-15,Eastham
ST2015-505,22-Dec-15,Eastham
ST2015-506,22-Dec-15,Eastham
ST2015-507,22-Dec-15,Wellfleet
ST2015-508,22-Dec-15,Eastham
ST2015-509,22-Dec-15,Eastham
ST2015-510,22-Dec-15,Eastham
ST2015-511,22-Dec-15,Hull
ST2015-512,22-Dec-15,Truro
ST2015-513,22-Dec-15,Wellfleet
ST2015-514,22-Dec-15,Eastham
ST2015-515,22-Dec-15,Eastham
ST2015-516,22-Dec-15,Eastham
ST2015-517,22-Dec-15,Eastham
ST2015-518,22-Dec-15,Eastham
ST2015-519,22-Dec-15,Eastham
ST2015-520,22-Dec-15,Wellfleet
ST2015-521,22-Dec-15,Orleans
ST2015-526,22-Dec-15,Eastham
ST2015-463,21-Dec-15,Truro
ST2015-464,21-Dec-15,Eastham
ST2015-465,21-Dec-15,Eastham
ST2015-472,21-Dec-15,Wellfleet
ST2015-474,21-Dec-15,Truro
ST2015-475,21-Dec-15,Truro
