Turtle ID,Observation Date,Observation Town
ST2014-1370,29-Dec-14,Wellfleet
ST2014-1371,29-Dec-14,Truro
ST2014-1368,28-Dec-14,Wellfleet
ST2014-1369,28-Dec-14,Truro
ST2014-1367,26-Dec-14,Wellfleet
ST2014-1365,25-Dec-14,Wellfleet
ST2014-1366,25-Dec-14,Wellfleet
ST2014-1364,24-Dec-14,Martha's Vineyard
ST2014-1363,23-Dec-14,Wellfleet
ST2014-1361,22-Dec-14,Barnstable
ST2014-1362,22-Dec-14,Dennis
ST2014-1358,20-Dec-14,Brewster
ST2014-1359,20-Dec-14,Brewster
ST2014-1360,20-Dec-14,Dennis
ST2014-1356,19-Dec-14,Orleans
ST2014-1357,19-Dec-14,Brewster
ST2014-1353,18-Dec-14,Wellfleet
ST2014-1354,18-Dec-14,Eastham
ST2014-1355,18-Dec-14,Eastham
ST2014-1352,17-Dec-14,Wellfleet
ST2014-1347,16-Dec-14,Dennis
ST2014-1348,16-Dec-14,Hull
ST2014-1349,16-Dec-14,Dennis
ST2014-1350,16-Dec-14,Dennis
ST2014-1342,15-Dec-14,Dennis
ST2014-1343,15-Dec-14,Barnstable
ST2014-1344,15-Dec-14,Dennis
ST2014-1340,14-Dec-14,Provincetown
ST2014-1341,14-Dec-14,Yarmouth Port
ST2014-1345,14-Dec-14,Wellfleet
ST2014-1339,13-Dec-14,Eastham
ST2014-1336,12-Dec-14,Barnstable
ST2014-1337.1,12-Dec-14,Barnstable
ST2014-1338,12-Dec-14,Barnstable
ST2014-1330,11-Dec-14,Bourne
ST2014-1331,11-Dec-14,Dennis
ST2014-1332,11-Dec-14,Eastham
ST2014-1333,11-Dec-14,Eastham
ST2014-1334,11-Dec-14,Eastham
ST2014-1335,11-Dec-14,Eastham
ST2014-1337,11-Dec-14,Sandwich
ST2014-1326,10-Dec-14,Bourne
ST2014-1327,10-Dec-14,Bourne
ST2014-1328,10-Dec-14,Bourne
ST2014-1329,10-Dec-14,Bourne
ST2014-1314,9-Dec-14,Bourne
ST2014-1316,9-Dec-14,Barnstable
ST2014-1317,9-Dec-14,Barnstable
ST2014-1318,9-Dec-14,Barnstable
ST2014-1319,9-Dec-14,Barnstable
ST2014-1320,9-Dec-14,Bourne
ST2014-1321,9-Dec-14,Bourne
