Turtle ID,Observation Date,Observation Town
ST2012-594,31-Dec-12,Dennis
ST2012-595,31-Dec-12,Dennis
ST2012-596,31-Dec-12,Dennis
ST2012-597,31-Dec-12,Dennis
ST2012-598,31-Dec-12,Dennis
ST2012-599,31-Dec-12,Dennis
ST2012-600,31-Dec-12,Yarmouth Port
ST2012-586,30-Dec-12,Orleans
ST2012-587,30-Dec-12,Dennis
ST2012-588,30-Dec-12,Barnstable
ST2012-589,30-Dec-12,Barnstable
ST2012-590,30-Dec-12,Barnstable
ST2012-591,30-Dec-12,Barnstable
ST2012-592,30-Dec-12,Dennis
ST2012-593,30-Dec-12,Barnstable
ST2012-583,29-Dec-12,Dennis
ST2012-584,29-Dec-12,Dennis
ST2012-585,29-Dec-12,Dennis
ST2012-577,28-Dec-12,Barnstable
ST2012-578,28-Dec-12,Barnstable
ST2012-579,28-Dec-12,Dennis
ST2012-580,28-Dec-12,Orleans
ST2012-581,28-Dec-12,Orleans
ST2012-582,28-Dec-12,Dennis
ST2012-574,27-Dec-12,Truro
ST2012-575,27-Dec-12,Eastham
ST2012-576,27-Dec-12,Wellfleet
ST2012-560,26-Dec-12,Brewster
ST2012-561,26-Dec-12,Brewster
ST2012-562,26-Dec-12,Dennis
ST2012-563,26-Dec-12,Dennis
ST2012-564,26-Dec-12,Brewster
ST2012-565,26-Dec-12,Brewster
ST2012-566,26-Dec-12,Dennis
ST2012-567,26-Dec-12,Brewster
ST2012-568,26-Dec-12,Barnstable
ST2012-569,26-Dec-12,Brewster
ST2012-570,26-Dec-12,Barnstable
ST2012-571,26-Dec-12,Dennis
ST2012-572,26-Dec-12,Dennis
ST2012-559,25-Dec-12,Barnstable
ST2012-550,24-Dec-12,Eastham
ST2012-551,24-Dec-12,Eastham
ST2012-552,24-Dec-12,Truro
ST2012-553,24-Dec-12,Eastham
ST2012-554,24-Dec-12,Wellfleet
ST2012-555,24-Dec-12,Truro
ST2012-556,24-Dec-12,Truro
ST2012-557,24-Dec-12,Woods Hole
ST2012-558,24-Dec-12,Eastham
ST2012-546,23-Dec-12,Dennis
ST2012-547,23-Dec-12,Wellfleet
ST2012-548,23-Dec-12,Wellfleet
ST2012-541,22-Dec-12,Falmouth
ST2012-542,22-Dec-12,Dennis
ST2012-544,22-Dec-12,Wellfleet
ST2012-545,22-Dec-12,Wellfleet
ST2012-549,22-Dec-12,Eastham
ST2012-537,21-Dec-12,Dennis
ST2012-538,21-Dec-12,Barnstable
ST2012-539,21-Dec-12,Barnstable
ST2012-540,21-Dec-12,Barnstable
ST2012-522,20-Dec-12,Dennis
ST2012-523,20-Dec-12,Dennis
ST2012-524,20-Dec-12,Dennis
ST2012-525,20-Dec-12,Brewster
ST2012-526,20-Dec-12,Brewster
ST2012-527,20-Dec-12,Dennis
ST2012-528,20-Dec-12,Dennis
ST2012-529,20-Dec-12,Dennis
St2012-530,20-Dec-12,Dennis
ST2012-531,20-Dec-12,Barnstable
ST2012-532,20-Dec-12,Barnstable
ST2012-533,20-Dec-12,Dennis
ST2012-534,20-Dec-12,Dennis
ST2012-535,20-Dec-12,Dennis
ST2012-536,20-Dec-12,Orleans
ST2012-519,19-Dec-12,Wellfleet
ST2012-520,19-Dec-12,Wellfleet
ST2012-521,19-Dec-12,Orleans
ST2012-518,18-Dec-12,Nantasket Beach
ST2012-517,17-Dec-12,Plymouth
ST2012-508,16-Dec-12,Dennis
ST2012-509,16-Dec-12,Dennis
ST2012-510,16-Dec-12,Wareham
ST2012-511,16-Dec-12,Dennis
ST2012-512,16-Dec-12,Wellfleet
ST2012-515,16-Dec-12,Orleans
ST2012-516,16-Dec-12,Wellfleet
ST2012-483,15-Dec-12,Truro
ST2012-484,15-Dec-12,Truro
ST2012-485,15-Dec-12,Truro
ST2012-486,15-Dec-12,Truro
ST2012-487,15-Dec-12,Wellfleet
ST2012-488,15-Dec-12,Wellfleet
ST2012-489,15-Dec-12,Wellfleet
ST2012-490,15-Dec-12,Truro
ST2012-491,15-Dec-12,Truro
ST2012-493,15-Dec-12,Brewster
ST2012-494,15-Dec-12,Brewster
ST2012-495,15-Dec-12,Truro
ST2012-496,15-Dec-12,Wellfleet
ST2012-498,15-Dec-12,Wellfleet
ST2012-499,15-Dec-12,Wellfleet
ST2012-500,15-Dec-12,Brewster
ST2012-501,15-Dec-12,Brewster
ST2012-502,15-Dec-12,Truro
ST2012-503,15-Dec-12,Brewster
ST2012-504,15-Dec-12,Brewster
ST2012-505,15-Dec-12,Brewster
ST2012-506,15-Dec-12,Barnstable
ST2012-507,15-Dec-12,Dennis
ST2012-513,15-Dec-12,Wellfleet
ST2012-470,14-Dec-12,Wellfleet
ST2012-471,14-Dec-12,Wellfleet
ST2012-472,14-Dec-12,Truro
ST2012-473,14-Dec-12,Wellfleet
ST2012-474,14-Dec-12,Truro
ST2012-475,14-Dec-12,Wellfleet
ST2012-476,14-Dec-12,Wellfleet
ST2012-477,14-Dec-12,Wellfleet
ST2012-478,14-Dec-12,Wellfleet
ST2012-479,14-Dec-12,Wellfleet
ST2012-480,14-Dec-12,Wellfleet
ST2012-481,14-Dec-12,Wellfleet
ST2012-482,14-Dec-12,Wellfleet
ST2012-492,14-Dec-12,Dennis
ST2012-459,13-Dec-12,Dennis
ST2012-460,13-Dec-12,Dennis
ST2012-461,13-Dec-12,Dennis
ST2012-462,13-Dec-12,Wellfleet
ST2012-463,13-Dec-12,Dennis
ST2012-464,13-Dec-12,Wellfleet
ST2012-465,13-Dec-12,Wellfleet
ST2012-466,13-Dec-12,Eastham
ST2012-468,13-Dec-12,Dennis
ST2012-469,13-Dec-12,Dennis
ST2012-453,12-Dec-12,Dennis
ST2012-454,12-Dec-12,Wellfleet
ST2012-455,12-Dec-12,Wellfleet
ST2012-456,12-Dec-12,Wellfleet
ST2012-457,12-Dec-12,Wellfleet
ST2012-458,12-Dec-12,Dennis
ST2012-451,11-Dec-12,Wellfleet
ST2012-452,11-Dec-12,Dennis
ST2012-450,10-Dec-12,Dennis
ST2012-439,9-Dec-12,Dennis
ST2012-440,9-Dec-12,Dennis
ST2012-442,9-Dec-12,Wellfleet
ST2012-443,9-Dec-12,Wellfleet
ST2012-444,9-Dec-12,Truro
ST2012-445,9-Dec-12,Wellfleet
ST2012-446,9-Dec-12,Wellfleet
ST2012-447,9-Dec-12,Wellfleet
ST2012-448,9-Dec-12,Wellfleet
ST2012-449,9-Dec-12,Wellfleet
ST2012-433,8-Dec-12,Dennis
ST2012-434,8-Dec-12,Dennis
ST2012-435,8-Dec-12,Dennis
ST2012-436,8-Dec-12,Dennis
ST2012-437,8-Dec-12,Dennis
ST2012-438,8-Dec-12,Dennis
ST2012-441,8-Dec-12,Orleans
ST2012-430,7-Dec-12,Brewster
ST2012-431,7-Dec-12,Dennis
ST2012-432,7-Dec-12,Dennis
ST2012-417,6-Dec-12,Wellfleet
ST2012-418,6-Dec-12,Wellfleet
ST2012-419,6-Dec-12,Truro
ST2012-420,6-Dec-12,Wellfleet
ST2012-421,6-Dec-12,Wellfleet
ST2012-422,6-Dec-12,Dennis
ST2012-423,6-Dec-12,Dennis
ST2012-424,6-Dec-12,Yarmouth
ST2012-425,6-Dec-12,Dennis
ST2012-426,6-Dec-12,Dennis
ST2012-427,6-Dec-12,Brewster
ST2012-428,6-Dec-12,Wellfleet
ST2012-429,6-Dec-12,Truro
ST2012-416,5-Dec-12,Truro
ST2012-415,4-Dec-12,Dennis
ST2012-411,3-Dec-12,Truro
ST2012-413,3-Dec-12,Dennis
