Turtle ID,Observation Date,Observation Town
ST2012-414,3-Dec-12,Truro
ST2012-399,2-Dec-12,Dennis
ST2012-400,2-Dec-12,Dennis
ST2012-401,2-Dec-12,Brewster
ST2012-402,2-Dec-12,Brewster
ST2012-403,2-Dec-12,Dennis
ST2012-404,2-Dec-12,Barnstable
ST2012-405,2-Dec-12,Barnstable
ST2012-406,2-Dec-12,Dennis
ST2012-407,2-Dec-12,Dennis
ST2012-408,2-Dec-12,Dennis
ST2012-409,2-Dec-12,Dennis
ST2012-410,2-Dec-12,Dennis
ST2012-412,2-Dec-12,Sandwich
ST2012-380,1-Dec-12,Dennis
ST2012-381,1-Dec-12,Eastham
ST2012-382,1-Dec-12,Dennis
ST2012-383,1-Dec-12,Dennis
ST2012-384,1-Dec-12,Dennis
ST2012-385,1-Dec-12,Brewster
ST2012-386,1-Dec-12,Barnstable
ST2012-387,1-Dec-12,Barnstable
ST2012-388,1-Dec-12,Barnstable
ST2012-389,1-Dec-12,Wellfleet
ST2012-390,1-Dec-12,Wellfleet
ST2012-391,1-Dec-12,Wellfleet
ST2012-392,1-Dec-12,Dennis
ST2012-393,1-Dec-12,Brewster
ST2012-394,1-Dec-12,Barnstable
ST2012-395,1-Dec-12,Barnstable
ST2012-396,1-Dec-12,Dennis
ST2012-397,1-Dec-12,Dennis
ST2012-398,1-Dec-12,Dennis
ST2012-363,30-Nov-12,Eastham
ST2012-364,30-Nov-12,Eastham
ST2012-365,30-Nov-12,Eastham
ST2012-366,30-Nov-12,Dennis
ST2012-367,30-Nov-12,Brewster
ST2012-368,30-Nov-12,Orleans
ST2012-369,30-Nov-12,Brewster
ST2012-370,30-Nov-12,Orleans
ST2012-371,30-Nov-12,Orleans
ST2012-372,30-Nov-12,Orleans
ST2012-373,30-Nov-12,Brewster
ST2012-374,30-Nov-12,Dennis
ST2012-375,30-Nov-12,Dennis
ST2012-376,30-Nov-12,Dennis
ST2012-377,30-Nov-12,Dennis
ST2012-378,30-Nov-12,Barnstable
ST2012-379,30-Nov-12,Barnstable
ST2012-341,29-Nov-12,Orleans
ST2012-342,29-Nov-12,Orleans
ST2012-343,29-Nov-12,Brewster
ST2012-344,29-Nov-12,Brewster
ST2012-345,29-Nov-12,Brewster
ST2012-346,29-Nov-12,Dennis
ST2012-347,29-Nov-12,Brewster
ST2012-348,29-Nov-12,Brewster
ST2012-349,29-Nov-12,Brewster
ST2012-350,29-Nov-12,Orleans
ST2012-351,29-Nov-12,Brewster
ST2012-352,29-Nov-12,Brewster
ST2012-353,29-Nov-12,Dennis
ST2012-354,29-Nov-12,Dennis
ST2012-355,29-Nov-12,Brewster
ST2012-356,29-Nov-12,Brewster
ST2012-358,29-Nov-12,Barnstable
ST2012-359,29-Nov-12,Barnstable
ST2012-360,29-Nov-12,Barnstable
ST2012-361,29-Nov-12,Dennis
ST2012-362,29-Nov-12,Yarmouth
ST2012-312,28-Nov-12,Dennis
ST2012-313,28-Nov-12,Dennis
ST2012-314,28-Nov-12,Dennis
ST2012-315,28-Nov-12,Barnstable
ST2012-316,28-Nov-12,Dennis
ST2012-317,28-Nov-12,Dennis
ST2012-318,28-Nov-12,Dennis
ST2012-319,28-Nov-12,Brewster
ST2012-320,28-Nov-12,Brewster
ST2012-321,28-Nov-12,Brewster
ST2012-322,28-Nov-12,Brewster
ST2012-323,28-Nov-12,Brewster
ST2012-324,28-Nov-12,Brewster
ST2012-325,28-Nov-12,Brewster
ST2012-326,28-Nov-12,Brewster
ST2012-327,28-Nov-12,Dennis
ST2012-328,28-Nov-12,Barnstable
ST2012-329,28-Nov-12,Barnstable
ST2012-330,28-Nov-12,Barnstable
ST2012-331,28-Nov-12,Barnstable
ST2012-332,28-Nov-12,Barnstable
ST2012-333,28-Nov-12,Barnstable
ST2012-334,28-Nov-12,East Dennis
ST2012-335,28-Nov-12,Dennis
ST2012-336,28-Nov-12,Dennis
ST2012-337,28-Nov-12,Dennis
ST2012-338,28-Nov-12,Barnstable
ST2012-339,28-Nov-12,Dennis
ST2012-340,28-Nov-12,Brewster
ST2012-299,27-Nov-12,Brewster
ST2012-300,27-Nov-12,Brewster
ST2012-301,27-Nov-12,Eastham
ST2012-304,27-Nov-12,Wellfleet
ST2012-306,27-Nov-12,Brewster
ST2012-307,27-Nov-12,Dennis
ST2012-308,27-Nov-12,Eastham
ST2012-309,27-Nov-12,Brewster
ST2012-310,27-Nov-12,Brewster
ST2012-311,27-Nov-12,Wellfleet
ST2012-281,26-Nov-12,Brewster
ST2012-282,26-Nov-12,Eastham
ST2012-283,26-Nov-12,Eastham
ST2012-284,26-Nov-12,Orleans
ST2012-285,26-Nov-12,Eastham
ST2012-286,26-Nov-12,Wellfleet
ST2012-287,26-Nov-12,Wellfleet
ST2012-288,26-Nov-12,Truro
ST2012-289,26-Nov-12,Brewster
ST2012-290,26-Nov-12,Brewster
ST2012-291,26-Nov-12,Wellfleet
ST2012-292,26-Nov-12,Dennis
ST2012-293,26-Nov-12,Brewster
ST2012-294,26-Nov-12,Eastham
ST2012-295,26-Nov-12,Bourne
ST2012-296,26-Nov-12,Nantucket
ST2012-297,26-Nov-12,Truro
ST2012-298,26-Nov-12,Truro
ST2012-302,26-Nov-12,Brewster
ST2012-303,26-Nov-12,Brewster
ST2012-305,26-Nov-12,Wellfleet
ST2012-269,25-Nov-12,Orleans
ST2012-270,25-Nov-12,Eastham
ST2012-271,25-Nov-12,Eastham
ST2012-272,25-Nov-12,Brewster
ST2012-273,25-Nov-12,Dennis
ST2012-274,25-Nov-12,Brewster
ST2012-275,25-Nov-12,Orleans
ST2012-276,25-Nov-12,Eastham
ST2012-277,25-Nov-12,Eastham
ST2012-278,25-Nov-12,Eastham
ST2012-279,25-Nov-12,Eastham
ST2012-280,25-Nov-12,Eastham
ST2012-268,24-Nov-12,Brewster
ST2012-261,23-Nov-12,Sandwich
ST2012-262,23-Nov-12,Sandwich
ST2012-266,23-Nov-12,Barnstable
ST2012-250,22-Nov-12,Brewster
ST2012-251,22-Nov-12,Sandwich
ST2012-252,22-Nov-12,Sandwich
ST2012-253,22-Nov-12,Barnstable
ST2012-254,22-Nov-12,Dennis
ST2012-256,22-Nov-12,Barnstable
ST2012-257,22-Nov-12,Barnstable
ST2012-258,22-Nov-12,Barnstable
ST2012-259,22-Nov-12,Dennis
ST2012-260,22-Nov-12,Sandwich
ST2012-263,22-Nov-12,Brewster
ST2012-242,21-Nov-12,Barnstable
ST2012-243,21-Nov-12,Barnstable
ST2012-244,21-Nov-12,Barnstable
ST2012-245,21-Nov-12,Barnstable
ST2012-246,21-Nov-12,Barnstable
ST2012-247,21-Nov-12,Barnstable
ST2012-248,21-Nov-12,Dennis
ST2012-249,21-Nov-12,Sandwich
ST2012-239,20-Nov-12,Dennis
ST2012-240,20-Nov-12,Barnstable
ST2012-241,20-Nov-12,Barnstable
ST2012-238,19-Nov-12,Sandwich
ST2012-231,18-Nov-12,Dennis
ST2012-232,18-Nov-12,Dennis
ST2012-233,18-Nov-12,Dennis
ST2012-234,18-Nov-12,Barnstable
ST2012-235,18-Nov-12,Barnstable
ST2012-236,18-Nov-12,Dennis
ST2012-237,18-Nov-12,Barnstable
ST2012-224,17-Nov-12,Barnstable
ST2012-225,17-Nov-12,Sandwich
ST2012-226,17-Nov-12,Barnstable
ST2012-227,17-Nov-12,Barnstable
ST2012-228,17-Nov-12,Brewster
ST2012-229,17-Nov-12,Dennis
ST2012-230,17-Nov-12,Dennis
ST2012-221,16-Nov-12,Brewster
ST2012-222,16-Nov-12,Dennis
ST2012-223,16-Nov-12,Dennis
ST2012-218,14-Nov-12,Eastham
ST2012-219,14-Nov-12,Brewster
ST2012-220,14-Nov-12,Brewster
ST2012-199,11-Nov-12,Dennis
ST2012-216,11-Nov-12,Hingham
ST2012-213,10-Nov-12,Dennis
ST2012-209,9-Nov-12,Dennis
ST2012-210,9-Nov-12,Dennis
ST2012-211,9-Nov-12,Barnstable
ST2012-212,9-Nov-12,Barnstable
ST2012-204,8-Nov-12,Barnstable
ST2012-205,8-Nov-12,Barnstable
ST2012-206,8-Nov-12,Barnstable
ST2012-207,8-Nov-12,Barnstable
ST2012-208,8-Nov-12,Barnstable
ST2002-86,7-Nov-12,Brewster
ST2012-202,7-Nov-12,Barnstable
ST2012-203,7-Nov-12,Barnstable
ST2012-200,6-Nov-12,Brewster
